time_ms,ax,ay,az,gx,gy,gz
13395,9.089,-1.442,4.951,39.046,100.244,14.992
13446,8.397,-1.061,6.361,40.504,95.840,9.237
13495,7.745,-0.572,5.243,20.473,84.458,10.634
13545,7.875,-1.387,7.365,0.634,46.763,0.855
13595,7.683,-1.090,7.425,-3.427,89.351,10.664
13645,6.802,-0.817,7.449,-8.099,64.206,4.374
13696,6.838,-1.298,8.433,-1.611,84.603,8.000
13746,5.894,-1.207,8.395,-14.137,63.206,1.061
13795,5.693,-1.344,8.878,-17.740,40.916,5.847
13845,5.585,-1.363,8.948,-15.863,49.802,3.901
13895,4.903,-1.607,9.226,-7.221,69.000,4.038
13945,4.349,-1.523,9.163,-6.534,51.588,3.137
13996,3.995,-1.782,9.827,-8.870,40.664,-0.885
14046,4.218,-1.554,9.757,-8.947,40.718,1.557
14095,3.727,-2.244,10.145,-9.466,37.878,3.015
14145,3.317,-1.693,9.899,-1.137,35.397,2.466
14195,2.603,-1.621,9.697,-10.237,27.137,1.069
14245,3.018,-1.691,9.875,-13.214,18.023,-1.176
14296,2.709,-1.911,10.279,-14.977,32.733,6.916
14345,2.136,-2.081,10.088,-6.244,24.802,1.244
14395,2.364,-2.132,10.648,-4.588,22.939,2.122
14445,2.117,-2.160,10.373,-6.237,18.076,1.107
14495,1.813,-2.055,10.373,-3.122,15.450,-2.061
14545,1.847,-2.117,10.327,-5.641,12.573,-1.084
14596,1.621,-2.239,10.483,-7.145,8.275,0.107
14645,1.643,-2.088,10.332,-7.962,2.626,-1.542
14695,1.715,-2.223,10.564,-7.275,-3.168,0.298
14745,1.832,-2.191,10.356,-8.000,-15.611,0.763
14795,1.873,-2.230,9.942,-4.298,-29.962,-0.206
14845,2.263,-2.244,10.220,-2.802,-38.733,-2.328
14896,2.582,-2.326,10.061,3.756,-53.656,-8.389
14945,3.032,-2.026,9.824,-4.908,-53.809,-7.824
14995,3.880,-2.029,9.700,-7.565,-56.603,-2.267
15045,3.777,-2.196,9.717,0.412,-56.023,-8.710
15095,4.479,-2.074,9.616,0.885,-49.206,-7.947
15145,4.699,-2.160,9.199,-2.076,-64.603,-7.313
15196,5.166,-2.041,9.027,-1.863,-67.840,-12.588
15245,6.210,-2.053,8.725,-12.550,-87.221,-16.809
15295,6.263,-1.971,8.313,-0.183,-76.527,-15.771
15345,6.785,-1.868,7.705,-2.092,-53.718,-11.298
15395,7.202,-1.770,7.417,-14.649,-53.160,-3.084
15446,7.544,-1.765,6.799,-7.130,-70.198,-9.214
15496,8.078,-1.789,6.895,-12.763,-60.939,-6.328
15545,8.153,-1.854,6.316,-7.718,-43.244,-1.450
15595,8.239,-1.765,5.750,-9.718,-50.740,-5.992
15645,8.962,-1.839,5.664,-7.733,-53.618,-7.817
15695,8.493,-1.861,5.097,-11.763,-52.947,-1.160
15746,9.297,-1.921,4.670,-4.290,-62.267,-8.481
15796,9.137,-1.973,4.515,-11.458,-46.191,-2.565
15846,9.714,-1.866,3.818,-9.687,-43.969,-8.137
15896,9.587,-1.765,3.470,-6.924,-48.641,-10.061
15946,9.736,-1.734,3.013,-18.435,-47.168,-12.130
15996,9.621,-1.650,2.620,-10.786,-51.977,-14.321
16047,9.729,-1.425,1.973,-23.168,-56.366,-5.733
16096,10.126,-1.605,1.993,-4.290,-32.672,-11.580
16146,10.035,-1.739,1.962,-6.908,-10.878,-8.679
16196,9.997,-1.459,1.375,2.985,10.924,-2.817
16246,9.846,-1.478,1.645,-1.725,2.771,-2.183
16296,9.932,-1.293,1.408,-3.924,8.878,-0.878
16347,10.061,-1.320,1.617,1.595,2.855,-1.321
16396,9.872,-1.504,1.842,-4.481,2.557,0.511
16446,9.860,-1.310,1.636,-3.328,0.053,0.466
16496,9.903,-1.624,1.691,-2.595,-0.649,2.924
16546,9.865,-1.523,1.768,-4.053,0.969,4.710
16596,10.038,-1.492,1.756,-2.756,-3.015,2.916
16647,9.870,-1.595,1.643,-5.321,0.733,10.366
16696,10.258,-1.528,1.360,6.450,2.550,20.550
16746,9.925,-2.036,1.818,-4.214,-2.305,44.992
16796,9.520,-2.177,1.384,-2.603,-6.611,42.817
16846,9.604,-2.852,1.835,3.710,-2.191,50.511
16897,9.216,-3.221,1.435,-7.573,4.252,44.939
16947,9.436,-3.463,1.552,-8.214,4.794,46.595
16996,9.575,-4.086,1.983,-6.382,14.359,41.435
17046,9.024,-4.165,1.739,-0.802,15.634,32.458
17096,8.876,-5.300,1.403,4.649,26.718,52.542
17146,8.751,-5.113,1.641,-6.053,8.695,61.763
17197,8.213,-5.269,1.880,-18.992,-20.611,55.015
17247,8.409,-5.906,1.978,-13.267,-5.527,50.595
17297,7.738,-6.083,1.669,-7.076,-5.092,41.023
17347,7.892,-6.553,1.655,-10.756,4.443,50.664
17397,7.305,-6.759,1.688,-3.641,5.687,45.084
17447,7.336,-7.415,1.756,-9.168,1.924,39.282
17498,6.783,-7.180,1.504,-2.290,-1.481,40.519
17547,6.756,-7.731,1.504,-7.412,-0.229,42.534
17597,6.285,-7.643,1.758,-3.115,-0.130,47.107
17647,6.071,-7.868,1.267,-3.496,-3.443,45.702
17697,5.889,-8.399,1.770,-10.092,2.863,35.702
17747,5.580,-8.361,1.631,-1.275,14.779,32.656
17798,4.965,-8.529,2.019,6.870,34.611,38.641
17847,4.867,-8.766,1.679,-11.084,23.863,43.443
17897,4.610,-9.053,2.213,-7.962,13.656,38.672
17947,4.371,-8.936,1.746,-4.336,16.725,26.687
17997,4.007,-9.132,2.134,-4.099,12.557,19.298
18048,4.124,-9.046,1.837,-4.664,13.985,19.679
18098,3.789,-9.233,2.120,-2.672,9.153,16.634
18147,3.870,-9.173,2.235,-4.992,7.855,18.672
18197,3.633,-9.120,2.002,-4.511,6.252,9.504
18247,3.535,-9.377,2.242,-3.840,1.031,-0.038
18297,3.542,-9.271,2.247,-1.267,1.176,-3.557
18348,3.322,-9.408,2.141,-3.969,2.183,0.992
18398,3.418,-9.218,2.098,-3.351,3.473,0.252
18447,3.454,-9.326,2.163,-2.847,1.527,-3.412
18497,3.494,-9.420,2.244,-3.450,-0.611,-3.237
18547,3.425,-9.353,2.361,-2.626,3.435,-3.611
18597,3.696,-9.175,2.213,-0.954,5.947,-15.504
18648,3.619,-9.139,2.096,-1.214,1.206,-18.298
18697,3.875,-9.044,2.333,0.489,0.305,-25.679
18747,4.060,-9.245,2.299,6.420,8.748,-29.298
18797,4.333,-8.878,2.393,4.397,6.382,-28.023
18847,4.752,-9.024,2.778,15.679,0.397,-62.206
18897,4.694,-8.426,2.714,18.481,17.985,-48.206
18948,5.365,-8.500,2.749,8.336,7.015,-42.229
19063,5.846,-7.477,2.855,-25.817,-4.115,-55.099
19113,6.517,-7.750,2.419,-25.359,-7.206,-58.023
19164,6.874,-7.276,2.158,-10.450,-8.061,-66.634
19213,7.391,-7.609,2.558,0.099,-11.481,-77.290
19263,7.489,-6.593,2.215,-5.366,-1.611,-56.374
19313,8.110,-6.287,2.117,0.198,5.511,-47.489
19363,8.069,-5.664,2.167,-5.008,-5.489,-41.924
19414,8.457,-5.784,2.345,2.221,-4.687,-42.763
19464,8.646,-5.389,2.177,5.687,-5.275,-32.557
19513,8.538,-4.989,1.985,0.695,-15.611,-36.817
19563,8.900,-4.979,2.081,-2.626,-14.649,-39.382
19613,9.101,-4.280,1.825,1.198,-13.275,-47.160
19663,9.403,-4.445,2.007,-1.420,-14.038,-26.389
19714,9.063,-3.660,1.863,1.779,-10.924,-26.344
19764,9.408,-3.602,1.609,6.527,-7.725,-37.084
19814,9.403,-3.348,1.739,5.809,-0.832,-28.244
19864,9.307,-3.343,1.770,8.015,-2.534,-33.527
19914,9.623,-2.936,1.629,6.031,0.214,-36.916
19964,9.726,-2.924,1.751,1.023,0.969,-26.664
20015,9.666,-2.429,1.950,0.992,-1.374,-22.229
20064,9.817,-1.861,1.811,3.427,-2.863,-32.473
