time_ms,ax,ay,az,gx,gy,gz
13656,10.787,-1.772,-2.371,-3.229,-10.969,-10.443
13705,9.321,-0.798,-0.685,9.87,13.427,-14.435
13755,9.879,1.023,0.299,-14.779,22.664,-14.206
13805,9.475,1.159,4.239,21.412,15.794,-3.198
13855,9.702,0.287,0.934,-2.985,0.725,7.282
13905,10.998,-4.572,-2.347,38.359,5.359,0.664
13956,9.961,-0.225,1.435,85.336,8.542,-6.985
14005,10.351,0.297,-1.085,22.374,2.634,-6.183
14055,10.414,1.157,2.668,-63.16,4.313,-7.038
14105,9.762,0.017,1.358,-79.641,-1.214,-6.664
14155,8.692,2.215,2.896,-47.595,1.977,-3.473
14205,9.891,0.544,2.453,-1.405,-4.16,9.405
14256,9.774,-0.074,1.787,0.908,-10.977,9.405
14305,10.311,-1.063,1.427,-46.84,-27.344,3.26
14355,10.03,1.593,-0.333,-1.427,-16.496,6.435
14405,10.529,-2.436,-2.668,-3.595,-2.718,10.092
14455,9.494,0.412,1.815,-4.221,11.519,-4.489
14505,10.066,0.939,1.983,-3.267,3.573,4.252
14556,9.942,-1.823,1.061,-3.634,-7.298,3.282
14605,10.239,-0.604,-0.319,-3.244,1.885,-3.26
14655,10.081,-1.339,0.819,0.282,5.527,-7.748
14705,9.899,2.558,-0.319,25.702,7.328,-12.405
14755,10.016,0.987,0.046,-26.389,1.672,-17.641
14806,9.906,1.298,1.377,-36.252,2.458,-3.115
14856,9.64,3.056,1.959,-8.565,-4.351,17.756
14905,11.252,-2.443,1.904,-6.29,-12.618,26.221
14955,10.358,-1.511,0.52,-3.565,6.344,-12.191
15005,9.925,1.059,1.784,-2.458,-6.649,-3.55
15055,10.114,0.103,-1.047,-3.366,0.603,-0.817
15106,10.272,0.036,0.422,-3.603,6.405,7.481
15156,10.114,-1.011,0.757,-4.115,4.733,0.725
15206,9.877,-0.647,1.954,-2.962,-3.725,-4.435
15256,10.069,0.34,0.141,-3.122,-3.672,-3.015
15306,10.385,-0.661,0.402,8.954,-0.931,-1.954
15356,10.09,-0.525,1.231,52.832,2.664,-0.695
15407,10.327,0.651,0.45,30.763,-5.534,3.405
15456,9.913,-2.915,-0.151,-1.924,1.466,-0.733
15506,10.04,0.146,0.364,-1.817,2.924,2.824
15556,9.889,0.244,-0.05,-3.802,5.656,-0.718
15606,10.536,-0.563,0.544,0.153,6.817,-5.183
15656,9.578,-0.319,2.833,-3.229,-1.275,-0.847
15707,9.906,-1.317,-1.468,-2.916,-4.244,-3.779
15756,10.215,0.853,1.03,-2.725,1.382,-3.458
15806,9.982,-0.374,0.709,-3.542,3.092,2.0
15856,10.109,-0.627,0.975,-3.328,1.153,-0.695
15906,10.047,-0.072,0.486,-3.221,-0.595,-3.366
15956,10.095,0.319,0.513,-3.641,1.092,-0.244
16007,10.052,-0.333,0.685,-3.466,1.855,1.168
16056,10.145,-0.501,0.647,-3.45,0.634,-0.191
16106,10.014,-1.073,0.829,-2.885,-0.313,-4.015
